YAL067C
YBL042C
YBR008C
YBR021W
YBR043C
YBR068C
YBR069C
YBR180W
YBR294W
YBR295W
YBR296C
YBR298C
YCL025C
YCR010C
YCR011C
YCR028C
YCR098C
YDL199C
YDR011W
YDR046C
YDR342C
YDR343C
YDR345C
YDR384C
YDR387C
YDR406W
YDR497C
YDR508C
YDR536W
YEL063C
YEL065W
YEL069C
YER056C
YER145C
YER166W
YFL011W
YFL040W
YFL050C
YFL055W
YGL077C
YGL114W
YGL255W
YGR055W
YGR121C
YGR138C
YGR217W
YGR224W
YGR260W
YGR281W
YGR289C
YHL016C
YHL040C
YHL047C
YHR092C
YHR094C
YHR096C
YIL013C
YIL088C
YIL120W
YIL121W
YJL093C
YJL129C
YJL212C
YJL214W
YJL219W
YJR040W
YJR054W
YJR152W
YKL174C
YKL209C
YKL217W
YKR039W
YKR050W
YKR103W
YKR106W
YLL028W
YLL043W
YLL048C
YLL052C
YLL061W
YLR081W
YLR092W
YLR130C
YLR138W
YLR237W
YLR411W
YML047C
YML116W
YML123C
YMR011W
YMR177W
YMR243C
YMR279C
YMR319C
YNL065W
YNL142W
YNL268W
YNL270C
YNL275W
YNL291C
YNL318C
YNR002C
YNR055C
YNR056C
YNR072W
YOL020W
YOL103W
YOL122C
YOL130W
YOL156W
YOL158C
YOR011W
YOR071C
YOR153W
YOR192C
YOR273C
YOR306C
YOR328W
YOR348C
YPL036W
YPL058C
YPL092W
YPL265W
YPL274W
YPR124W
YPR138C
YPR156C
YPR192W
YPR198W
YPR201W
